form	lemma	POS	morph
༄༅། །		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
དོན་	དོན་	NOUN
བདུན་	བདུན་	NUM
མ་	མ་	PART
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
"། །

༄༅། །"		PUNCT
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
རྟེན་	རྟེན་	NOUN
གྱི་	གི་	PART
ཆོ་	ཆོ་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
དག་	དག་	DET
ལ་	ལ་	PART
བསླབ་	བསླབ་	VERB
། །		PUNCT
དངོས་གཞི་	དངོས་གཞི་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
སེམས་	སེམས་	NOUN
སྦྱོང་བ་	སྦྱོང་བ་	VERB
།		PUNCT
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
རྨི་ལམ་	རྨི་ལམ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
བསམ་	བསམ་	NOUN
། །		PUNCT
མ་	མ་	PART
སྐྱེ་	སྐྱེ་	VERB
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
གཤིས་	གཤིས་	OTHER
ལ་	ལ་	PART
དཔྱད་	དཔྱད་	VERB
། །		PUNCT
གཉེན་པོ་	གཉེན་པོ་	NOUN
ཉིད་	ཉིད་	DET
ཀྱང་	ཀྱང་	PART
རང་ས་	རང་ས་	OTHER
ར་	ལ་	PART
གྲོལ་	གྲོལ་	VERB
"།
།"		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
ཀུན་གཞི་	ཀུན་གཞི་	NOUN
འི་	གི་	PART
ངང་	ངང་	NOUN
ལ་	ལ་	PART
བཞག་	བཞག་	VERB
།		PUNCT
ཐུན་	ཐུན་	NOUN
མཚམས་	མཚམས་	NOUN
སྒྱུ་མ་	སྒྱུ་མ་	NOUN
འི་	གི་	PART
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
བྱ་	བྱ་	VERB
། །		PUNCT
གཏོང་ལེན་	གཏོང་ལེན་	OTHER
གཉིས་པོ་	གཉིས་པོ་	NUM
སྤེལ་མ་	སྤེལ་མ་	NO_POS
ར་	ལ་	PART
སྦྱང་	སྦྱང་	VERB
"།
།"		PUNCT
དེ་	སྟེ་	PART
གཉིས་	གཉིས་	NUM
རླུང་	རླུང་	NOUN
ལ་	ལ་	PART
བསྐྱོན་པ་	བསྐྱོན་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
ཡུལ་གསུམ་	ཡུལ་གསུམ་	NO_POS
དུག་	དུག་	NOUN
གསུམ་	གསུམ་	NUM
དགེ་རྩ་	དགེ་རྩ་	OTHER
གསུམ་	གསུམ་	NUM
། །		PUNCT
སྤྱོད་ལམ་	སྤྱོད་ལམ་	NOUN
ཀུན་	ཀུན་	DET
ཏུ་	ལ་	PART
ཚིག་	ཚིག་	NOUN
གིས་	གིས་	PART
སྦྱང་	སྦྱང་	VERB
"།
།"		PUNCT
ལེན་པ་	ལེན་པ་	VERB
འི་	གི་	PART
གོ་རིམ་	གོ་རིམ་	NOUN
རང་	རང་	PRON
ན་	ནས་	PART
བརྩམ་	བརྩམ་	VERB
། །		PUNCT
རྐྱེན་ངན་	རྐྱེན་ངན་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
ལམ་	གམ་	PART
དུ་	ལ་	PART
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
།		PUNCT
སྣོད་བཅུད་	སྣོད་བཅུད་	NOUN
སྡིག་པ་	སྡིག་པ་	VERB
ས་	གིས་	PART
